brand,claim,intended_public_use,source_url,source_owner,source_type,source_date_or_currentness,evidence_scope,confidence,decision,safe_rewrite,notes
Sorgenfri,Nordisch inspirierte Damenmode mit maritimer Lebensart,verified_claim,https://scandic-fashion.de,Scandic Fashion GmbH,Wholesale/Brand Owner,2026-08,BRAND/STYLE,HIGH,KEEP,Nordisch inspirierte Schnitte mit maritimer Note,Gegründet von Dennis Niemann (Scandic Fashion GmbH Kiel)
Sorgenfri,Liebevoll gestaltete florale Muster und weiche Maschenware,verified_claim,https://scandic-fashion.de,Scandic Fashion GmbH,Wholesale/Brand Owner,2026-08,PRODUCT/STYLE,HIGH,KEEP,Liebevoll gestaltete florale Muster und weiche Maschenware,Charakteristischer Maschenwaren-Schwerpunkt
Sorgenfri,Feminine unkomplizierte Passformen mit hohem Tragekomfort,verified_claim,Checkpot Inhaberin Beratungserfahrung,Checkpot,Editorial Opinion,2026-08,STYLE/FIT,HIGH,KEEP,Feminine unkomplizierte Passformen mit hohem Tragekomfort,Redaktionelle Passformberatung
Lykka du Nord,Skandinavisch inspirierte Designs mit ausdrucksstarken Allover-Prints,verified_claim,https://scandic-fashion.de,Scandic Fashion GmbH,Wholesale/Brand Owner,2026-08,BRAND/STYLE,HIGH,KEEP,Skandinavisch inspirierte Designs mit ausdrucksstarken Allover-Prints,Schwesterlabel von Sorgenfri
Lykka du Nord,Verwendung von Bio-Baumwolle und hautfreundlichen Naturmaterialien,verified_claim,https://avocadostore.de/brands/lykka-du-nord,Scandic Fashion Partner,Retailer Profile,2026-08,MATERIAL/SELECTED_PRODUCTS,MEDIUM,REWRITE,Verarbeitung von Bio-Baumwolle und weichen Naturfasermischungen,Strickteile aus Bio-Baumwolle; Kleider aus Bambus/Viskose
Lykka du Nord,Sorgfältige Fertigung in europäischen Partnerbetrieben,verified_claim,https://scandic-fashion.de,Scandic Fashion GmbH,Wholesale/Brand Owner,2026-08,PRODUCTION,MEDIUM,KEEP,Fertigung in europäischen Partnerbetrieben,Europäische Produktionspartner der Scandic Fashion Gruppe
Seasalt,Zertifizierte B Corp™ für geprüfte soziale und ökologische Standards,verified_claim,https://www.seasaltcornwall.com/sustainability,Seasalt Ltd.,Official Primary,2026-08,COMPANY,HIGH,KEEP,Zertifizierte B Corp™ für geprüfte soziale und ökologische Standards,Offiziell registrierte B Corporation
Seasalt,Handgezeichnete florale und maritime Exklusivprints aus Cornwall,verified_claim,https://www.seasaltcornwall.com,Seasalt Ltd.,Official Primary,2026-08,BRAND/DESIGN,HIGH,KEEP,Handgezeichnete florale und maritime Exklusivprints aus Cornwall,Designstudio in Falmouth Cornwall
Seasalt,Schwerpunkt auf GOTS-zertifizierter Bio-Baumwolle und langlebigen Naturfasern,verified_claim,https://www.seasaltcornwall.com/sustainability,Seasalt Ltd.,Official Primary,2026-08,MATERIAL/SELECTED_PRODUCTS,HIGH,KEEP,Schwerpunkt auf GOTS-zertifizierter Bio-Baumwolle und langlebigen Naturfasern,Materialfokus; Net-Zero 2040 Ziel als Commitment dokumentiert
Pretty Vacant,GOTS-zertifizierte Bio-Baumwolle für geprüfte ökologische Qualität,verified_claim,https://www.prettyvacantclothing.com,Pretty Vacant Clothing,Official Primary,2026-08,MATERIAL/BRAND,HIGH,KEEP,GOTS-zertifizierte Bio-Baumwolle für geprüfte ökologische Qualität,GOTS Lizenznehmer & Soil Association Mitglied
Pretty Vacant,Vintage-inspirierte Schnitte aus dem Designstudio in Brighton,verified_claim,https://www.prettyvacantclothing.com,Pretty Vacant Clothing,Official Primary,2026-08,BRAND/DESIGN,HIGH,KEEP,Vintage-inspirierte Schnitte aus dem Designstudio in Brighton,Gegründet 2004 von Simon & Mhorag
Pretty Vacant,Verwendung reiner Naturfasern für Langlebigkeit und angenehmen Griff,verified_claim,https://www.prettyvacantclothing.com,Pretty Vacant Clothing,Official Primary,2026-08,MATERIAL,HIGH,KEEP,Verwendung natürlicher Monofasern wie Bio-Baumwolle und Viskose,Fokus auf Monofasern zur Recyclingfähigkeit
Cissi och Selma,Entworfen im eigenen Designstudio in Stockholm (Södermalm),verified_claim,https://cissiochselma.se,Cissi och Selma AB,Official Primary,2026-08,BRAND/DESIGN,HIGH,KEEP,Entworfen im eigenen Designstudio in Stockholm (Södermalm),Gegründet 2007 von Cissi Centerwall
Cissi och Selma,Gefertigt in ausgewählten europäischen Partnerbetrieben,verified_claim,https://cissiochselma.se,Cissi och Selma AB,Official Primary,2026-08,PRODUCTION,HIGH,KEEP,Gefertigt in ausgewählten europäischen Partnerbetrieben,Fertigung in Rumänien und Portugal
Cissi och Selma,Fokus auf Bio-Baumwolle und OEKO-TEX®-zertifizierte Stoffe,verified_claim,https://cissiochselma.se,Cissi och Selma AB,Official Primary,2026-08,MATERIAL,HIGH,KEEP,Fokus auf Bio-Baumwolle und OEKO-TEX®-zertifizierte Stoffe,Materialzertifikate für Stoffqualitäten
Danefae,Fluorcarbonfreie Imprägnierung bei wasser- und winddichter Funktionsbekleidung,verified_claim,https://danefae.dk,Danefæ ApS,Official Primary,2026-08,PRODUCT_LINE,HIGH,KEEP,Fluorcarbonfreie Imprägnierung bei wasser- und winddichter Funktionsbekleidung,Gilt für Outdoor- und Regenbekleidung
Danefae,Geprüfte soziale Standards durch BSCI-zertifizierte Partnerbetriebe,verified_claim,https://danefae.dk,Danefæ ApS,Official Primary,2026-08,SUPPLIER/AUDIT,HIGH,REWRITE,Produktionspartner werden nach anerkannten amfori-BSCI-Sozialstandards auditiert,BSCI ist ein Auditprogramm keine Produktzertifizierung
